# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1097            	2.45119043e-02	3.98817027e-01	-3.74305123e-01	-7.73122150e-01	-9.10251471e-02	-6.82097003e-01	2.95535928e-01	3.86561075e-01	1.22559521e-02	1.60315918e-19	1.22559521e-02	-1.22559521e-02
1098            	2.44978009e-02	3.98850515e-01	-3.74352714e-01	-7.73203229e-01	-9.10570575e-02	-6.82146171e-01	2.95544557e-01	3.86601614e-01	1.22489004e-02	1.60316040e-19	1.22489004e-02	-1.22489004e-02
1099            	2.44836843e-02	3.98884146e-01	-3.74400461e-01	-7.73284607e-01	-9.10890478e-02	-6.82195559e-01	2.95553256e-01	3.86642304e-01	1.22418421e-02	1.60316148e-19	1.22418421e-02	-1.22418421e-02
1100            	2.44691770e-02	3.98917524e-01	-3.74448347e-01	-7.73365871e-01	-9.11213470e-02	-6.82244524e-01	2.95561589e-01	3.86682936e-01	1.22345885e-02	1.60316290e-19	1.22345885e-02	-1.22345885e-02
1101            	2.44547482e-02	3.98950904e-01	-3.74496156e-01	-7.73447061e-01	-9.11535222e-02	-6.82293538e-01	2.95570008e-01	3.86723530e-01	1.22273741e-02	1.60316412e-19	1.22273741e-02	-1.22273741e-02
1102            	2.44407160e-02	3.98983735e-01	-3.74543019e-01	-7.73526754e-01	-9.11850108e-02	-6.82341743e-01	2.95578366e-01	3.86763377e-01	1.22203580e-02	1.60316525e-19	1.22203580e-02	-1.22203580e-02
1103            	2.44270236e-02	3.99015984e-01	-3.74588961e-01	-7.73604945e-01	-9.12159511e-02	-6.82388994e-01	2.95586521e-01	3.86802472e-01	1.22135118e-02	1.60316633e-19	1.22135118e-02	-1.22135118e-02
1104            	2.44133143e-02	3.99048490e-01	-3.74635176e-01	-7.73683665e-01	-9.12471010e-02	-6.82436564e-01	2.95594732e-01	3.86841833e-01	1.22066572e-02	1.60316747e-19	1.22066572e-02	-1.22066572e-02
1105            	2.43991898e-02	3.99082083e-01	-3.74682893e-01	-7.73764976e-01	-9.12791605e-02	-6.82485816e-01	2.95603328e-01	3.86882488e-01	1.21995949e-02	1.60316871e-19	1.21995949e-02	-1.21995949e-02
1106            	2.43850306e-02	3.99114729e-01	-3.74729698e-01	-7.73844427e-01	-9.13108582e-02	-6.82533569e-01	2.95611355e-01	3.86922213e-01	1.21925153e-02	1.60316989e-19	1.21925153e-02	-1.21925153e-02
1107            	2.43713614e-02	3.99146445e-01	-3.74775083e-01	-7.73921528e-01	-9.13416914e-02	-6.82579837e-01	2.95619073e-01	3.86960764e-01	1.21856807e-02	1.60317098e-19	1.21856807e-02	-1.21856807e-02
1108            	2.43572712e-02	3.99178500e-01	-3.74821228e-01	-7.73999728e-01	-9.13729451e-02	-6.82626783e-01	2.95626919e-01	3.86999864e-01	1.21786356e-02	1.60317206e-19	1.21786356e-02	-1.21786356e-02
1109            	2.43435834e-02	3.99210541e-01	-3.74866957e-01	-7.74077498e-01	-9.14039916e-02	-6.82673506e-01	2.95634757e-01	3.87038749e-01	1.21717917e-02	1.60317303e-19	1.21717917e-02	-1.21717917e-02
1110            	2.43296928e-02	3.99243026e-01	-3.74913333e-01	-7.74156359e-01	-9.14354562e-02	-6.82720903e-01	2.95642723e-01	3.87078180e-01	1.21648464e-02	1.60317436e-19	1.21648464e-02	-1.21648464e-02
1111            	2.43158166e-02	3.99276255e-01	-3.74960439e-01	-7.74236694e-01	-9.14669016e-02	-6.82769793e-01	2.95651446e-01	3.87118347e-01	1.21579083e-02	1.60317556e-19	1.21579083e-02	-1.21579083e-02
1112            	2.43014838e-02	3.99309301e-01	-3.75007817e-01	-7.74317117e-01	-9.14989464e-02	-6.82818171e-01	2.95659612e-01	3.87158559e-01	1.21507419e-02	1.60317674e-19	1.21507419e-02	-1.21507419e-02
1113            	2.42878185e-02	3.99340140e-01	-3.75052321e-01	-7.74392461e-01	-9.15294262e-02	-6.82863035e-01	2.95666804e-01	3.87196231e-01	1.21439093e-02	1.60317781e-19	1.21439093e-02	-1.21439093e-02
1114            	2.42741866e-02	3.99370820e-01	-3.75096633e-01	-7.74467453e-01	-9.15599259e-02	-6.82907527e-01	2.95673801e-01	3.87233727e-01	1.21370933e-02	1.60317887e-19	1.21370933e-02	-1.21370933e-02
1115            	2.42611474e-02	3.99400709e-01	-3.75139562e-01	-7.74540272e-01	-9.15893847e-02	-6.82950887e-01	2.95680751e-01	3.87270136e-01	1.21305737e-02	1.60317985e-19	1.21305737e-02	-1.21305737e-02
1116            	2.42472156e-02	3.99432830e-01	-3.75185614e-01	-7.74618444e-01	-9.16208681e-02	-6.82997576e-01	2.95688354e-01	3.87309222e-01	1.21236078e-02	1.60318101e-19	1.21236078e-02	-1.21236078e-02
1117            	2.42334520e-02	3.99464070e-01	-3.75230617e-01	-7.74694687e-01	-9.16516240e-02	-6.83043063e-01	2.95695719e-01	3.87347344e-01	1.21167260e-02	1.60318217e-19	1.21167260e-02	-1.21167260e-02
1118            	2.42192451e-02	3.99496197e-01	-3.75276952e-01	-7.74773149e-01	-9.16831712e-02	-6.83089978e-01	2.95703403e-01	3.87386574e-01	1.21096225e-02	1.60318333e-19	1.21096225e-02	-1.21096225e-02
1119            	2.42060793e-02	3.99527045e-01	-3.75320966e-01	-7.74848011e-01	-9.17130811e-02	-6.83134930e-01	2.95710924e-01	3.87424005e-01	1.21030397e-02	1.60318414e-19	1.21030397e-02	-1.21030397e-02
1120            	2.41921601e-02	3.99559203e-01	-3.75367043e-01	-7.74926245e-01	-9.17442204e-02	-6.83182025e-01	2.95718902e-01	3.87463123e-01	1.20960800e-02	1.60318535e-19	1.20960800e-02	-1.20960800e-02
1121            	2.41785787e-02	3.99590222e-01	-3.75411643e-01	-7.75001865e-01	-9.17751477e-02	-6.83226717e-01	2.95725785e-01	3.87500932e-01	1.20892894e-02	1.60318647e-19	1.20892894e-02	-1.20892894e-02
1122            	2.41656246e-02	3.99619247e-01	-3.75453622e-01	-7.75072869e-01	-9.18046799e-02	-6.83268189e-01	2.95731754e-01	3.87536434e-01	1.20828123e-02	1.60318743e-19	1.20828123e-02	-1.20828123e-02
1123            	2.41512844e-02	3.99650927e-01	-3.75499643e-01	-7.75150570e-01	-9.18362723e-02	-6.83314298e-01	2.95739013e-01	3.87575285e-01	1.20756422e-02	1.60318856e-19	1.20756422e-02	-1.20756422e-02
1124            	2.41379296e-02	3.99680918e-01	-3.75542988e-01	-7.75223906e-01	-9.18658986e-02	-6.83358007e-01	2.95746054e-01	3.87611953e-01	1.20689648e-02	1.60318957e-19	1.20689648e-02	-1.20689648e-02
1125            	2.41249635e-02	3.99711015e-01	-3.75586051e-01	-7.75297066e-01	-9.18953436e-02	-6.83401722e-01	2.95753189e-01	3.87648533e-01	1.20624817e-02	1.60319052e-19	1.20624817e-02	-1.20624817e-02
1126            	2.41118534e-02	3.99741383e-01	-3.75629529e-01	-7.75370912e-01	-9.19252880e-02	-6.83445624e-01	2.95760168e-01	3.87685456e-01	1.20559267e-02	1.60319153e-19	1.20559267e-02	-1.20559267e-02
1127            	2.40984543e-02	3.99771401e-01	-3.75672947e-01	-7.75444349e-01	-9.19555708e-02	-6.83488778e-01	2.95766603e-01	3.87722174e-01	1.20492271e-02	1.60319258e-19	1.20492271e-02	-1.20492271e-02
1128            	2.40848024e-02	3.99801012e-01	-3.75716209e-01	-7.75517221e-01	-9.19860338e-02	-6.83531188e-01	2.95772577e-01	3.87758611e-01	1.20424012e-02	1.60319363e-19	1.20424012e-02	-1.20424012e-02
1129            	2.40710125e-02	3.99830480e-01	-3.75759467e-01	-7.75589947e-01	-9.20164883e-02	-6.83573458e-01	2.95778485e-01	3.87794973e-01	1.20355062e-02	1.60319466e-19	1.20355062e-02	-1.20355062e-02
1130            	2.40577966e-02	3.99859069e-01	-3.75801272e-01	-7.75660341e-01	-9.20459568e-02	-6.83614384e-01	2.95784214e-01	3.87830171e-01	1.20288983e-02	1.60319540e-19	1.20288983e-02	-1.20288983e-02
1131            	2.40442783e-02	3.99888632e-01	-3.75844353e-01	-7.75732985e-01	-9.20761417e-02	-6.83656844e-01	2.95790351e-01	3.87866493e-01	1.20221392e-02	1.60319655e-19	1.20221392e-02	-1.20221392e-02
1132            	2.40310435e-02	3.99917540e-01	-3.75886496e-01	-7.75804036e-01	-9.21057932e-02	-6.83698243e-01	2.95796225e-01	3.87902018e-01	1.20155218e-02	1.60319751e-19	1.20155218e-02	-1.20155218e-02
1133            	2.40175925e-02	3.99946587e-01	-3.75928995e-01	-7.75875582e-01	-9.21358296e-02	-6.83739752e-01	2.95801961e-01	3.87937791e-01	1.20087962e-02	1.60319849e-19	1.20087962e-02	-1.20087962e-02
1134            	2.40043422e-02	3.99973894e-01	-3.75969552e-01	-7.75943446e-01	-9.21647446e-02	-6.83778702e-01	2.95806978e-01	3.87971723e-01	1.20021711e-02	1.60319936e-19	1.20021711e-02	-1.20021711e-02
1135            	2.39910603e-02	4.00002052e-01	-3.76010992e-01	-7.76013044e-01	-9.21941372e-02	-6.83818907e-01	2.95812385e-01	3.88006522e-01	1.19955301e-02	1.60320026e-19	1.19955301e-02	-1.19955301e-02
1136            	2.39777275e-02	4.00030014e-01	-3.76052287e-01	-7.76082301e-01	-9.22235012e-02	-6.83858800e-01	2.95817649e-01	3.88041151e-01	1.19888637e-02	1.60320118e-19	1.19888637e-02	-1.19888637e-02
1137            	2.39650489e-02	4.00056676e-01	-3.76091627e-01	-7.76148303e-01	-9.22517874e-02	-6.83896516e-01	2.95822364e-01	3.88074151e-01	1.19825244e-02	1.60320202e-19	1.19825244e-02	-1.19825244e-02
