Time;Cd;Cl
0.001199976;1.02928952;-1.48839378
0.0026399818;1.81461079;-2.44259745
0.0043680633;2.29600575;-2.95593218
0.0064416537;2.54023585;-3.11925967
0.0089299622;2.52450386;-3.00449168
0.011915932;2.33393466;-2.8024222
0.015499311;2.10357755;-2.68805427
0.019799827;1.92754069;-2.66381491
0.024960003;1.81927224;-2.66180478
0.031151894;1.74113334;-2.65403082
0.038580781;1.65686714;-2.63318322
0.047496109;1.55995808;-2.60125097
0.058194502;1.45937685;-2.56663251
0.07103533;1.35899909;-2.53190632
0.086448296;1.25697187;-2.49460755
0.10490386;1.15057833;-2.4535256
0.12641207;1.04088576;-2.40734956
0.15094736;0.930914027;-2.35439086
0.17851549;0.824072238;-2.29281044
0.20868518;0.724992795;-2.22224917
0.23890093;0.641689599;-2.1494578
0.26925592;0.57113018;-2.07455797
0.29984622;0.509942242;-1.99749283
0.33067588;0.454652433;-1.91704653
0.36174906;0.402227377;-1.83158344
0.39307004;0.350949964;-1.73952575
0.42444112;0.301172389;-1.64137728
0.45581221;0.254474503;-1.5397542
0.48723374;0.212779847;-1.43962763
0.51865526;0.177495862;-1.34751176
0.55012755;0.148671961;-1.2678617
0.58165084;0.125166921;-1.20173011
0.61327682;0.105175898;-1.14591319
0.64495447;0.0871486087;-1.09486836
0.67673615;0.070185639;-1.04288246
0.70867543;0.0542458314;-0.986321243
0.74072082;0.0398716053;-0.924505111
0.77298092;0.0276809583;-0.858468217
0.80540422;0.0181103806;-0.790610002
0.83804809;0.0111827856;-0.722710083
0.87091594;0.00666685523;-0.656362466
0.90395408;0.00413494441;-0.592736259
0.93722245;0.00313509524;-0.532515227
0.97066592;0.00327051352;-0.476604139
1.0042867;0.00421037298;-0.425641122
1.0380268;0.00569690753;-0.380281771
1.0718271;0.00751744925;-0.341012997
1.1057486;0.0094695075;-0.307759298
1.13967;0.0114081826;-0.280493329
1.1736526;0.0132513867;-0.258780563
1.207574;0.0149229021;-0.24215683
1.2414953;0.0164086551;-0.229978602
1.2754167;0.0176955738;-0.221614513
1.3092767;0.0188089948;-0.216532481
1.3430754;0.0198035984;-0.214296088
1.3768742;0.0207198549;-0.214495199
1.4106118;0.0215785081;-0.216749972
1.4442882;0.0224157958;-0.220794307
1.4779646;0.0232608031;-0.226411539
1.5115799;0.0241280165;-0.233400633
1.5451952;0.0250291514;-0.241587796
1.5787494;0.0259612027;-0.250742282
1.6123036;0.0269340991;-0.260745709
1.6458578;0.0279424957;-0.271445169
1.6793508;0.0289786585;-0.282684792
1.7128437;0.0300432507;-0.294322424
1.7463367;0.0311212771;-0.306222772
1.7798296;0.0322062824;-0.318258281
1.8133226;0.0332853129;-0.330283391
1.8468156;0.0343490022;-0.342194103
1.8803085;0.0353912233;-0.353906067
1.9138015;0.0364013901;-0.365313583
1.9472944;0.0373694678;-0.376335
1.9807874;0.038286077;-0.386908351
2.0142804;0.0391477073;-0.396995392
2.0477733;0.0399514367;-0.406563076
2.0812663;0.04069441;-0.415573694
2.114822;0.041378261;-0.424038941
2.1483777;0.0419954909;-0.431919605
2.1819333;0.0425532851;-0.439251056
2.215489;0.0430525112;-0.446027259
2.2491081;0.0435006232;-0.45227917
2.2827272;0.043896955;-0.45804374
2.3163464;0.0442471261;-0.463312013
2.3499655;0.0445533379;-0.468119337
2.3836487;0.0448205054;-0.472493427
2.417332;0.0450458203;-0.476447396
2.4510153;0.0452363168;-0.48000265
2.4847633;0.0453961107;-0.483185957
2.5185114;0.0455219884;-0.486011917
2.5522594;0.0456204115;-0.488497267
2.5860729;0.0456958395;-0.49067034
2.6198863;0.0457463842;-0.492543665
2.6537657;0.0457821357;-0.494153403
2.6876451;0.045800438;-0.495524904
2.7215244;0.0458072373;-0.496668519
2.7554703;0.0458057768;-0.497610825
2.7894163;0.04579205;-0.498379361
2.8234293;0.0457733381;-0.498980742
2.8574423;0.0457452368;-0.499441326
2.8914553;0.0457127461;-0.499775083
2.9255361;0.04567728;-0.499998011
2.9596168;0.0456341419;-0.500122484
2.9937659;0.045590407;-0.500167313
3.027915;0.0455406394;-0.500151392
3.062064;0.0454897326;-0.500087142
3.0962821;0.0454404144;-0.49999137
3.1305001;0.04538843;-0.499873824
3.1647877;0.0453411003;-0.499754481
3.1990753;0.0452928948;-0.499646967
3.2333629;0.0452470398;-0.499542034
3.2677208;0.045204319;-0.499458963
3.3020787;0.0451591478;-0.499396211
3.3364365;0.0451155691;-0.499357451
3.3708654;0.0450756686;-0.499352098
3.4052942;0.0450337849;-0.499384878
3.4397231;0.044997186;-0.499459094
3.4742237;0.0449652779;-0.499569661
3.5087242;0.0449339808;-0.499732887
3.5432248;0.0449077501;-0.499945672
3.5777979;0.0448883487;-0.500199647
3.6123709;0.0448689659;-0.50050641
3.646944;0.0448532719;-0.500842467
3.6815903;0.0448423873;-0.501220119
3.7162366;0.0448309357;-0.501631276
3.7508829;0.0448223362;-0.502081183
3.7856032;0.0448178565;-0.502554762
3.8203236;0.0448100211;-0.503070732
3.8550439;0.0448042852;-0.503609023
3.8898391;0.0448005541;-0.504172559
3.9246342;0.0447932315;-0.504770829
3.9594294;0.0447884971;-0.505384323
3.9942246;0.0447837396;-0.506017475
4.0290955;0.0447816364;-0.506672831
4.0639665;0.0447759137;-0.507348888
4.0988375;0.0447721897;-0.508040767
4.1337851;0.0447713744;-0.508744256
4.1687327;0.0447668312;-0.509470196
4.2036803;0.0447630155;-0.510210181
4.2386279;0.0447589835;-0.510967125
4.2736532;0.0447569025;-0.511735525
4.3086785;0.0447517647;-0.512520652
4.3437037;0.0447492672;-0.513326845
4.3788075;0.0447515001;-0.514156159
4.4139113;0.0447540643;-0.515022331
4.4490151;0.0447631263;-0.515933401
4.4841189;0.0447789478;-0.516901632
4.5193023;0.0448054951;-0.51793957
4.5544857;0.0448386892;-0.519065499
4.5896691;0.044886333;-0.52029659
4.6249331;0.0449515503;-0.521665271
4.660197;0.0450312607;-0.5232095
4.6954609;0.0451340313;-0.524967138
4.7307248;0.0452629783;-0.526986613
4.7660704;0.0454255816;-0.52932391
4.8014159;0.0456198476;-0.532041414
4.8367614;0.0458553266;-0.535195693
4.8721896;0.0461373873;-0.538869442
4.9076177;0.0464633872;-0.543129239
4.9430458;0.0468424809;-0.548043209
4.978474;0.047278345;-0.553676564
5.0139858;0.0477794916;-0.560112818
5.0494977;0.0483356725;-0.567405346
5.0850941;0.048956952;-0.575603736
5.1206906;0.0496335708;-0.584732475
5.156287;0.0503675675;-0.594803624
5.191969;0.0511573665;-0.605831473
5.227651;0.0519926727;-0.617752175
5.2634194;0.0528717091;-0.630516682
5.2991878;0.0537714247;-0.643992191
5.3350435;0.0546854225;-0.658051686
5.3708991;0.055586875;-0.672479542
5.4068428;0.0564666773;-0.687063135
5.4428753;0.05729218;-0.70154008
5.4789078;0.0580368636;-0.715570541
5.5150299;0.0586850737;-0.728840105
5.5512424;0.0592063525;-0.74099521
5.5875458;0.0595769654;-0.751663265
5.6239409;0.0597737836;-0.760471262
5.6603359;0.0597729638;-0.767052332
5.6968236;0.059562585;-0.771079725
5.7334046;0.0591210117;-0.772260222
5.7700797;0.0584409297;-0.770339197
5.8068495;0.0575109284;-0.765138699
5.8437148;0.0563363272;-0.756523834
5.8806764;0.0549231832;-0.744463388
5.917735;0.0532865594;-0.728993577
5.9548914;0.0514440703;-0.710314917
5.9921463;0.0494204556;-0.688631878
6.0294012;0.0472507339;-0.664342398
6.0667558;0.0449689948;-0.637766066
6.1041103;0.0426081435;-0.609445153
6.1415656;0.0402073892;-0.579803705
6.1790208;0.0378018136;-0.549462635
6.2165778;0.0354318068;-0.51889476
6.2541348;0.0331349103;-0.48875912
6.2916918;0.0309527729;-0.459597687
6.3292488;0.0289157508;-0.431917606
6.3668058;0.0270533677;-0.406178184
6.4043628;0.0253900891;-0.382799408
6.4419199;0.023942605;-0.362091115
6.4794769;0.02272618;-0.344333158
6.5169298;0.0217510585;-0.329743243
6.5543828;0.0210288952;-0.318401656
6.5918358;0.0205551852;-0.310353437
6.6291844;0.0203284813;-0.305583697
6.6665331;0.0203487875;-0.303987075
6.7037774;0.0205988586;-0.305426934
6.7410217;0.0210782627;-0.309711595
6.7781617;0.0217634226;-0.31659745
6.8153017;0.0226490423;-0.325842145
6.8523374;0.0237076597;-0.337144282
6.889373;0.024933043;-0.350244635
6.9264087;0.0262990801;-0.364860481
6.9633398;0.0277819178;-0.380667678
7.0002708;0.029375443;-0.397427781
7.0372019;0.0310587803;-0.414878989
7.074028;0.0328050498;-0.432719566
7.1108541;0.0346057271;-0.450759678
7.1476803;0.0364342649;-0.468785124
7.1845064;0.038273712;-0.486591458
7.2213325;0.0401057348;-0.503993232
7.2580528;0.0419047953;-0.520785447
7.2947731;0.0436652318;-0.536872259
7.3314934;0.0453632212;-0.55214078
7.3682137;0.0469856668;-0.56648988
7.4050411;0.0485247975;-0.579877962
7.4418685;0.0499552775;-0.592206189
7.4786958;0.051271846;-0.603426931
7.5155232;0.0524620299;-0.613518459
7.5523506;0.0535170232;-0.622473624
7.5891779;0.0544300911;-0.63030299
7.6261149;0.0552007542;-0.637038006
7.6630519;0.0558145445;-0.642694958
7.6999889;0.05627512;-0.647312218
7.7369258;0.0565796492;-0.650943166
7.7739744;0.0567324758;-0.653642629
7.8110229;0.0567263364;-0.65546161
7.8480715;0.0565709334;-0.656453341
7.8852334;0.0562697762;-0.656678527
7.9223952;0.0558223971;-0.656207165
7.9595571;0.055244268;-0.655099647
7.996834;0.0545415694;-0.65341622
8.0341109;0.0537183792;-0.651238064
8.0715043;0.0527925403;-0.64861734
8.1088977;0.0517698428;-0.645634496
8.1462911;0.0506723147;-0.642344311
8.1838029;0.0495101777;-0.638789868
8.2213146;0.0482936371;-0.635041304
8.2588263;0.0470450954;-0.631139575
8.2964583;0.0457761873;-0.62711305
8.3340903;0.0444978911;-0.623020899
8.371844;0.0432327839;-0.618871108
8.4095978;0.0419896603;-0.614717215
8.4473515;0.0407908633;-0.610575659
8.4852291;0.0396471822;-0.606445814
8.5231066;0.0385673901;-0.602364802
8.5609841;0.0375715045;-0.598336318
8.5988617;0.0366679265;-0.594371736
8.6368655;0.0358675221;-0.590460517
8.6748693;0.0351750882;-0.586629855
8.7128731;0.0346062788;-0.582877218
8.7508769;0.0341630606;-0.579214277
8.7890095;0.0338518416;-0.575633137
8.8271421;0.033667741;-0.572162056
8.8652747;0.0336191359;-0.568804232
8.9034073;0.0337018833;-0.565571985
8.94154;0.0339126386;-0.562476204
8.9796726;0.0342462646;-0.559534391
9.0179376;0.0347007567;-0.556752644
9.0562026;0.0352579349;-0.554170413
9.0944677;0.0359153879;-0.551802129
9.1327327;0.0366589733;-0.549675339
9.1709977;0.0374757096;-0.547818275
9.2092627;0.03835287;-0.54625882
9.2475278;0.0392766162;-0.545025886
9.2857928;0.0402326752;-0.544148226
9.3240578;0.0412066391;-0.543651923
9.3623228;0.0421840905;-0.543561
9.4005879;0.0431510413;-0.543896891
9.4388529;0.0440967836;-0.54468367
9.4771179;0.0450054181;-0.545927534
9.5153829;0.0458691477;-0.547636217
9.553648;0.0466805681;-0.549824657
9.591913;0.0474297379;-0.552484182
9.630178;0.0481099012;-0.555604631
9.668443;0.0487157545;-0.559164282
9.7067081;0.0492424019;-0.563138839
9.7449731;0.0496872216;-0.567495516
9.7832381;0.0500498492;-0.572193873
9.8215031;0.0503304804;-0.577190384
9.8597682;0.0505308823;-0.582434207
9.8980332;0.0506536204;-0.587870743
9.9362982;0.0507020524;-0.593437762
9.9745632;0.0506802867;-0.599070349
10.012975;0.0505958167;-0.604719421
10.051387;0.0504441359;-0.610304483
10.089798;0.0502401462;-0.615746554
10.12821;0.0499870265;-0.620976236
10.166621;0.0496902044;-0.625923897
10.205033;0.0493547345;-0.630523079
10.243596;0.0489864663;-0.634721013
10.282159;0.0485825951;-0.638455351
10.320722;0.0481574871;-0.641664681
10.359285;0.0477096128;-0.644302521
10.397847;0.047248917;-0.646319705
10.436566;0.0467757738;-0.647695581
10.475284;0.0462858159;-0.64839467
10.514002;0.0457901487;-0.648392724
10.552721;0.0452869239;-0.647681819
10.591439;0.0447778705;-0.646261533
10.630318;0.0442677159;-0.644112929
10.669196;0.0437480641;-0.641289596
10.708074;0.0432324353;-0.637784433
10.746953;0.0427180846;-0.633637852
10.785831;0.042205492;-0.628887315
10.824709;0.041695684;-0.623577453
10.863588;0.0411900426;-0.617760529
10.902466;0.0406901493;-0.611495151
10.941344;0.0401980838;-0.604849676
10.980223;0.0397163539;-0.597897374
11.019101;0.0392469304;-0.590717909
11.057979;0.0387921033;-0.583395249
