# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
167             	4.50838044e-02	2.51260925e-01	-2.06177121e-01	-4.57438046e-01	-1.02894627e-02	-4.47148583e-01	2.18429560e-01	2.28719023e-01	2.25419022e-02	1.59646292e-19	2.25419022e-02	-2.25419022e-02
168             	4.47293833e-02	2.51426807e-01	-2.06697424e-01	-4.58124231e-01	-1.04597143e-02	-4.47664516e-01	2.18602401e-01	2.29062115e-01	2.23646917e-02	1.59655111e-19	2.23646917e-02	-2.23646917e-02
169             	4.50545701e-02	2.52102065e-01	-2.07047495e-01	-4.59149559e-01	-1.05388995e-02	-4.48610660e-01	2.19035880e-01	2.29574780e-01	2.25272851e-02	1.59635738e-19	2.25272851e-02	-2.25272851e-02
170             	4.47027323e-02	2.52234845e-01	-2.07532113e-01	-4.59766957e-01	-1.07801091e-02	-4.48986848e-01	2.19103370e-01	2.29883479e-01	2.23513661e-02	1.59662702e-19	2.23513661e-02	-2.23513661e-02
171             	4.49965407e-02	2.52876967e-01	-2.07880427e-01	-4.60757394e-01	-1.07976817e-02	-4.49959712e-01	2.19581015e-01	2.30378697e-01	2.24982703e-02	1.59627182e-19	2.24982703e-02	-2.24982703e-02
172             	4.46870400e-02	2.53017979e-01	-2.08330939e-01	-4.61348918e-01	-1.10921137e-02	-4.50256805e-01	2.19582345e-01	2.30674459e-01	2.23435200e-02	1.59668090e-19	2.23435200e-02	-2.23435200e-02
173             	4.49365969e-02	2.53674640e-01	-2.08738043e-01	-4.62412683e-01	-1.10622319e-02	-4.51350451e-01	2.20144109e-01	2.31206341e-01	2.24682985e-02	1.59621283e-19	2.24682985e-02	-2.24682985e-02
174             	4.46844598e-02	2.53819592e-01	-2.09135132e-01	-4.62954724e-01	-1.14009902e-02	-4.51553734e-01	2.20076372e-01	2.31477362e-01	2.23422299e-02	1.59671049e-19	2.23422299e-02	-2.23422299e-02
175             	4.48667647e-02	2.54448904e-01	-2.09582139e-01	-4.64031043e-01	-1.13373879e-02	-4.52693656e-01	2.20678134e-01	2.32015522e-01	2.24333824e-02	1.59617417e-19	2.24333824e-02	-2.24333824e-02
176             	4.46910847e-02	2.54619465e-01	-2.09928380e-01	-4.64547844e-01	-1.17019440e-02	-4.52845900e-01	2.20571978e-01	2.32273922e-01	2.23455424e-02	1.59671208e-19	2.23455424e-02	-2.23455424e-02
177             	4.47896221e-02	2.55198179e-01	-2.10408557e-01	-4.65606736e-01	-1.16235636e-02	-4.53983172e-01	2.21179804e-01	2.32803368e-01	2.23948110e-02	1.59616026e-19	2.23948110e-02	-2.23948110e-02
178             	4.47078017e-02	2.55431213e-01	-2.10723411e-01	-4.66154624e-01	-1.19880269e-02	-4.54166597e-01	2.21089285e-01	2.33077312e-01	2.23539008e-02	1.59667792e-19	2.23539008e-02	-2.23539008e-02
179             	4.47058317e-02	2.55914833e-01	-2.11209002e-01	-4.67123835e-01	-1.19268856e-02	-4.55196949e-01	2.21635032e-01	2.33561917e-01	2.23529158e-02	1.59618049e-19	2.23529158e-02	-2.23529158e-02
180             	4.47158651e-02	2.56206696e-01	-2.11490831e-01	-4.67697526e-01	-1.22660645e-02	-4.55431462e-01	2.21582699e-01	2.33848763e-01	2.23579325e-02	1.59662035e-19	2.23579325e-02	-2.23579325e-02
181             	4.46337584e-02	2.56653019e-01	-2.12019260e-01	-4.68672279e-01	-1.22355821e-02	-4.56436697e-01	2.22100558e-01	2.34336140e-01	2.23168792e-02	1.59621371e-19	2.23168792e-02	-2.23168792e-02
182             	4.47206062e-02	2.56989668e-01	-2.12269062e-01	-4.69258729e-01	-1.25406969e-02	-4.56718032e-01	2.22088668e-01	2.34629365e-01	2.23603031e-02	1.59654722e-19	2.23603031e-02	-2.23603031e-02
183             	4.45726200e-02	2.57385406e-01	-2.12812786e-01	-4.70198192e-01	-1.25489270e-02	-4.57649265e-01	2.22550169e-01	2.35099096e-01	2.22863100e-02	1.59626708e-19	2.22863100e-02	-2.22863100e-02
184             	4.47173638e-02	2.57760844e-01	-2.13043481e-01	-4.70804325e-01	-1.28105169e-02	-4.57993808e-01	2.22591646e-01	2.35402162e-01	2.23586819e-02	1.59646440e-19	2.23586819e-02	-2.23586819e-02
185             	4.45206147e-02	2.58099331e-01	-2.13578717e-01	-4.71678048e-01	-1.28645073e-02	-4.58813541e-01	2.22974517e-01	2.35839024e-01	2.22603073e-02	1.59633147e-19	2.22603073e-02	-2.22603073e-02
186             	4.47042733e-02	2.58521709e-01	-2.13817436e-01	-4.72339145e-01	-1.30773411e-02	-4.59261804e-01	2.23092231e-01	2.36169573e-01	2.23521366e-02	1.59638177e-19	2.23521366e-02	-2.23521366e-02
187             	4.44782374e-02	2.58805173e-01	-2.14326936e-01	-4.73132109e-01	-1.31826873e-02	-4.59949421e-01	2.23383367e-01	2.36566054e-01	2.22391187e-02	1.59640358e-19	2.22391187e-02	-2.22391187e-02
188             	4.46814579e-02	2.59271939e-01	-2.14590481e-01	-4.73862420e-01	-1.33441455e-02	-4.60518275e-01	2.23587065e-01	2.36931210e-01	2.23407289e-02	1.59630337e-19	2.23407289e-02	-2.23407289e-02
189             	4.44462082e-02	2.59506732e-01	-2.15060524e-01	-4.74567255e-01	-1.35014624e-02	-4.61065793e-01	2.23782165e-01	2.37283628e-01	2.22231041e-02	1.59647457e-19	2.22231041e-02	-2.22231041e-02
190             	4.46492031e-02	2.60010204e-01	-2.15361001e-01	-4.75371206e-01	-1.36119927e-02	-4.61759213e-01	2.24073610e-01	2.37685603e-01	2.23246016e-02	1.59623496e-19	2.23246016e-02	-2.23246016e-02
191             	4.44253799e-02	2.60209570e-01	-2.15784190e-01	-4.75993761e-01	-1.38181375e-02	-4.62175623e-01	2.24178743e-01	2.37996880e-01	2.22126900e-02	1.59653420e-19	2.22126900e-02	-2.22126900e-02
