# y+ ()         
# Time          	patch           	min             	max             	average         
0               	Floor	0.00000000e+00	0.00000000e+00	0.00000000e+00
0               	Airfoil	6.40726452e+00	1.38798420e+01	9.28831123e+00
10              	Floor	1.69178818e+00	7.01642738e+01	1.83738340e+01
10              	Airfoil	1.71340606e+00	1.60564928e+01	6.53374717e+00
