Block Name,Point ID,vtkOriginalPointIds,alphat,Cp(upper),div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus,,Cp
Airfoil,27,55,2.36E-07,185.391,-3.28E-07,6.35E-05,0,0,0,0,0,2.01E-07,33.395,1.00067,0.610616,0.0515166,1,1.17282,0.999995,1.00063,0,0,0,0,23.0583,,0.125070002
Airfoil,28,57,2.35E-07,185.4,-3.23E-07,6.21E-05,0,0,0,0,0,2.00E-07,32.7603,1.00071,0.632332,0.0508785,1,1.18424,1.00003,1.00064,0,0,0,0,22.9497,,0.132536868
Airfoil,29,59,2.32E-07,185.41,-3.13E-07,6.05E-05,0,0,0,0,0,1.97E-07,32.0471,1.00077,0.654045,0.0501448,1,1.19595,1.00007,1.00066,0,0,0,0,22.7732,,0.143737166
Airfoil,30,61,2.27E-07,185.423,-2.97E-07,5.84E-05,0,0,0,0,0,1.93E-07,31.2068,1.00084,0.675753,0.0492947,1,1.20792,1.00013,1.00067,0,0,0,0,22.4668,,0.156804181
Airfoil,31,63,2.20E-07,185.441,-2.79E-07,5.57E-05,0,0,0,0,0,1.87E-07,30.1974,1.00094,0.697456,0.0483139,1,1.22016,1.0002,1.0007,0,0,0,0,21.9677,,0.175471346
Airfoil,32,65,2.09E-07,185.463,-2.75E-07,5.22E-05,0,0,0,0,0,1.77E-07,29.023,1.00106,0.719153,0.0472096,1,1.23264,1.00029,1.00072,0,0,0,0,21.2373,,0.197871943
Airfoil,33,67,1.95E-07,185.489,-3.40E-07,4.83E-05,0,0,0,0,0,1.66E-07,27.7877,1.00119,0.740849,0.046068,1,1.24538,1.0004,1.00075,0,0,0,0,20.355,,0.222139257
Airfoil,34,69,1.82E-07,185.514,-3.47E-07,4.44E-05,0,0,0,0,0,1.55E-07,26.6515,1.00133,0.762549,0.0450267,1,1.25838,1.00051,1.00078,0,0,0,0,19.4869,,0.248273287
Airfoil,35,71,1.71E-07,185.536,-2.57E-07,4.12E-05,0,0,0,0,0,1.45E-07,25.7548,1.00145,0.784258,0.0442028,1,1.27162,1.00061,1.0008,0,0,0,0,18.7393,,0.270673885
Airfoil,36,73,1.64E-07,185.555,-2.13E-07,3.91E-05,0,0,0,0,0,1.39E-07,25.2754,1.00155,0.805978,0.043722,1,1.28511,1.00069,1.00082,0,0,0,0,18.2558,,0.289341049
Airfoil,37,75,1.61E-07,185.568,-2.72E-07,3.82E-05,0,0,0,0,0,1.37E-07,25.2789,1.00162,0.827702,0.0437541,1,1.29885,1.00075,1.00083,0,0,0,0,18.1083,,0.302408064
Airfoil,38,77,1.63E-07,185.574,-3.54E-07,3.87E-05,0,0,0,0,0,1.38E-07,25.818,1.00166,0.84942,0.0442823,1,1.31281,1.00079,1.00083,0,0,0,0,18.2091,,0.30987493
Airfoil,39,79,1.68E-07,185.574,-3.06E-07,4.03E-05,0,0,0,0,0,1.43E-07,26.8404,1.00166,0.871112,0.0454643,1,1.32699,1.00079,1.00082,0,0,0,0,18.5452,,0.30987493
Airfoil,40,81,1.75E-07,185.566,-3.43E-07,4.25E-05,0,0,0,0,0,1.49E-07,28.2128,1.00161,0.892767,0.0472029,1,1.34137,1.00076,1.00081,0,0,0,0,19.0006,,0.300541348
Airfoil,41,83,1.83E-07,185.553,-3.76E-07,4.57E-05,0,0,0,0,0,1.55E-07,30.0614,1.00154,0.914369,0.0495071,1,1.35592,1.00071,1.00079,0,0,0,0,19.531,,0.287474333
Airfoil,42,84,1.92E-07,185.527,-2.86E-07,4.97E-05,0,0,0,0,0,1.63E-07,32.374,1.0014,0.935901,0.0523915,0,0.937367,1.00061,1.00075,0,0,0,0,20.1247,,0.261340302
Airfoil,43,85,1.92E-07,185.527,-2.86E-07,4.97E-05,0,0,0,0,0,1.63E-07,32.374,1.0014,0.935901,0.0523915,1,1.37064,1.00061,1.00075,0,0,0,0,20.1247,,0.261340302
Airfoil,44,87,2.08E-07,185.491,-2.77E-07,5.60E-05,0,0,0,0,0,1.77E-07,35.5054,1.00121,0.957362,0.0557708,1,1.38552,1.00047,1.00069,0,0,0,0,21.1732,,0.22587269
Airfoil,45,88,2.34E-07,185.414,-2.81E-07,6.07E-05,0,0,0,0,0,1.99E-07,34.8069,1.00079,0.978737,0.0596364,0,0.980552,1.00011,1.00063,0,0,0,0,22.9126,,0.147470599
