Block Name,Point ID,vtkOriginalPointIds,alphat,div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus,,Cp
Airfoil,40,177,2.29E-07,-3.04E-07,9.41E-05,0,0,0,0,0,1.95E-07,49.155,0.997098,0.635427,-0.0310804,1,1.18521,0.997095,0.99994,0,0,0,0,22.5957,,-0.541721113
Airfoil,41,179,2.31E-07,-2.84E-07,9.16E-05,0,0,0,0,0,1.97E-07,47.4767,0.997215,0.657232,-0.0270785,1,1.19695,0.997184,0.999968,0,0,0,0,22.6938,,-0.51988053
Airfoil,42,181,2.31E-07,-2.54E-07,8.88E-05,0,0,0,0,0,1.97E-07,45.744,0.997351,0.679004,-0.0229041,1,1.20895,0.997289,1,0,0,0,0,22.7411,,-0.494493186
Airfoil,43,183,2.32E-07,-3.01E-07,8.60E-05,0,0,0,0,0,1.98E-07,44.0191,0.997493,0.700749,-0.018584,1,1.22123,0.9974,1.00003,0,0,0,0,22.7928,,-0.467985813
Airfoil,44,185,2.33E-07,-3.12E-07,8.32E-05,0,0,0,0,0,1.99E-07,42.3196,0.997628,0.722466,-0.0141303,1,1.23376,0.997503,1.00006,0,0,0,0,22.8641,,-0.442785141
Airfoil,45,187,2.34E-07,-2.52E-07,8.04E-05,0,0,0,0,0,1.99E-07,40.6021,0.997764,0.74415,-0.00951665,1,1.24653,0.997607,1.00009,0,0,0,0,22.8958,,-0.417397797
Airfoil,46,189,2.33E-07,-1.90E-07,7.72E-05,0,0,0,0,0,1.99E-07,38.8508,0.997915,0.765796,-0.00473135,1,1.25955,0.997724,1.00013,0,0,0,0,22.8484,,-0.389210379
Airfoil,47,191,2.32E-07,-1.56E-07,7.39E-05,0,0,0,0,0,1.97E-07,37.1026,0.998077,0.787408,0.000207888,1,1.2728,0.99785,1.00017,0,0,0,0,22.7499,,-0.358969573
Airfoil,48,193,2.30E-07,-1.75E-07,7.07E-05,0,0,0,0,0,1.96E-07,35.4087,0.998239,0.808991,0.00527518,1,1.28627,0.997977,1.0002,0,0,0,0,22.6485,,-0.328728766
Airfoil,49,195,2.29E-07,-1.87E-07,6.76E-05,0,0,0,0,0,1.95E-07,33.7719,0.998395,0.830547,0.0104532,1,1.29997,0.998099,1.00024,0,0,0,0,22.5542,,-0.29960799
Airfoil,50,197,2.26E-07,-1.98E-07,6.43E-05,0,0,0,0,0,1.92E-07,32.123,0.998549,0.852068,0.0157747,1,1.31388,0.998218,1.00027,0,0,0,0,22.3725,,-0.270860556
Airfoil,51,199,2.21E-07,-1.81E-07,6.07E-05,0,0,0,0,0,1.88E-07,30.4549,0.998722,0.873545,0.0212707,1,1.32798,0.998352,1.00031,0,0,0,0,22.0637,,-0.238566362
Airfoil,52,201,2.15E-07,-2.97E-07,5.70E-05,0,0,0,0,0,1.83E-07,28.7908,0.998898,0.894988,0.0268986,1,1.34228,0.998488,1.00035,0,0,0,0,21.6202,,-0.205712152
Airfoil,53,203,2.09E-07,-2.17E-07,5.34E-05,0,0,0,0,0,1.78E-07,27.1894,0.999082,0.916399,0.0326466,1,1.35678,0.998637,1.00039,0,0,0,0,21.2771,,-0.17136457
Airfoil,54,205,1.95E-07,-2.85E-07,4.91E-05,0,0,0,0,0,1.66E-07,25.4389,0.99923,0.937755,0.0385959,1,1.37145,0.99874,1.00043,0,0,0,0,20.3075,,-0.143737166
Airfoil,55,207,1.99E-07,-4.43E-07,4.71E-05,0,0,0,0,0,1.70E-07,24.2716,0.999487,0.959077,0.0446661,1,1.3863,0.998968,1.00046,0,0,0,0,20.6159,,-0.095762554
Airfoil,56,209,1.62E-07,-2.63E-07,4.13E-05,0,0,0,0,0,1.38E-07,21.5821,0.999457,0.980374,0.050815,1,1.40133,0.998886,1.00051,0,0,0,0,18.084,,-0.101362703
