# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0125          	2.20060599e+00	2.65734269e+00	-4.56736708e-01	-3.11407940e+00	1.07195670e+00	-4.18603611e+00	2.62899641e+00	1.55703970e+00	1.10030299e+00	-1.08529673e-18	1.10030299e+00	-1.10030299e+00
0.027083333     	2.08070617e+00	2.47078968e+00	-3.90083513e-01	-2.86087319e+00	1.05297708e+00	-3.91385028e+00	2.48341368e+00	1.43043660e+00	1.04035308e+00	-1.07957164e-18	1.04035308e+00	-1.04035308e+00
0.0453125       	1.52959103e+00	2.00280955e+00	-4.73218514e-01	-2.47602806e+00	8.67022191e-01	-3.34305025e+00	2.10503622e+00	1.23801403e+00	7.64795516e-01	-1.04752395e-18	7.64795516e-01	-7.64795516e-01
0.063541667     	1.29487883e+00	1.86292656e+00	-5.68047734e-01	-2.43097430e+00	7.61801206e-01	-3.19277550e+00	1.97728835e+00	1.21548715e+00	6.47439415e-01	-1.04300941e-18	6.47439415e-01	-6.47439415e-01
0.081770833     	1.22650472e+00	1.84509500e+00	-6.18590276e-01	-2.46368528e+00	7.20103875e-01	-3.18378915e+00	1.95194651e+00	1.23184264e+00	6.13252362e-01	-1.05596321e-18	6.13252362e-01	-6.13252362e-01
0.1             	1.15223051e+00	1.79385509e+00	-6.41624586e-01	-2.43547968e+00	6.63983044e-01	-3.09946272e+00	1.88172288e+00	1.21773984e+00	5.76115254e-01	-1.06992094e-18	5.76115254e-01	-5.76115254e-01
0.12            	1.04575833e+00	1.71175159e+00	-6.65993265e-01	-2.37774486e+00	5.78674511e-01	-2.95641937e+00	1.76754694e+00	1.18887243e+00	5.22879163e-01	-1.07263941e-18	5.22879163e-01	-5.22879163e-01
0.14666667      	9.13421048e-01	1.61706639e+00	-7.03645345e-01	-2.32071174e+00	4.76484249e-01	-2.79719599e+00	1.63684012e+00	1.16035587e+00	4.56710524e-01	-1.05529385e-18	4.56710524e-01	-4.56710524e-01
0.17333333      	8.01342540e-01	1.53648557e+00	-7.35143030e-01	-2.27162860e+00	3.94638524e-01	-2.66626712e+00	1.53045282e+00	1.13581430e+00	4.00671270e-01	-1.04120324e-18	4.00671270e-01	-4.00671270e-01
0.2             	7.15077421e-01	1.47239445e+00	-7.57317031e-01	-2.22971148e+00	3.30131618e-01	-2.55984310e+00	1.44498736e+00	1.11485574e+00	3.57538710e-01	-1.03607818e-18	3.57538710e-01	-3.57538710e-01
0.23333333      	6.32422114e-01	1.40559009e+00	-7.73167980e-01	-2.17875807e+00	2.65178881e-01	-2.44393695e+00	1.35455792e+00	1.08937904e+00	3.16211057e-01	-1.02944829e-18	3.16211057e-01	-3.16211057e-01
0.26666667      	5.52285951e-01	1.32553083e+00	-7.73244883e-01	-2.09877572e+00	2.05405028e-01	-2.30418075e+00	1.25479289e+00	1.04938786e+00	2.76142976e-01	-1.02815941e-18	2.76142976e-01	-2.76142976e-01
0.3             	4.71369278e-01	1.22938390e+00	-7.58014618e-01	-1.98739851e+00	1.48133720e-01	-2.13553223e+00	1.14183298e+00	9.93699257e-01	2.35684639e-01	-1.02641720e-18	2.35684639e-01	-2.35684639e-01
0.33333333      	4.08857081e-01	1.14493407e+00	-7.36076989e-01	-1.88101106e+00	1.02617790e-01	-1.98362885e+00	1.04312332e+00	9.40505530e-01	2.04428540e-01	-1.02419340e-18	2.04428540e-01	-2.04428540e-01
0.36666667      	3.73556827e-01	1.08909024e+00	-7.15533409e-01	-1.80462364e+00	7.37786724e-02	-1.87840232e+00	9.76090495e-01	9.02311822e-01	1.86778413e-01	-1.02296035e-18	1.86778413e-01	-1.86778413e-01
0.4             	3.49299953e-01	1.04584958e+00	-6.96549627e-01	-1.74239921e+00	5.29878417e-02	-1.79538705e+00	9.24187445e-01	8.71199603e-01	1.74649976e-01	-1.02350743e-18	1.74649976e-01	-1.74649976e-01
0.43333333      	3.11956266e-01	9.85756849e-01	-6.73800583e-01	-1.65955743e+00	2.46664644e-02	-1.68422390e+00	8.54445180e-01	8.29778716e-01	1.55978133e-01	-1.02591313e-18	1.55978133e-01	-1.55978133e-01
