# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
31              	5.78174705e-02	1.63867437e-01	-1.06049966e-01	-2.69917403e-01	-1.24167975e-02	-2.57500605e-01	1.22541904e-01	1.34958701e-01	2.89087353e-02	1.60041475e-19	2.89087353e-02	-2.89087353e-02
32              	5.99448805e-02	1.66513893e-01	-1.06569012e-01	-2.73082905e-01	-1.22300630e-02	-2.60852842e-01	1.24311389e-01	1.36541452e-01	2.99724402e-02	1.59929349e-19	2.99724402e-02	-2.99724402e-02
33              	5.64299729e-02	1.65258656e-01	-1.08828684e-01	-2.74087340e-01	-1.22099565e-02	-2.61877383e-01	1.24833713e-01	1.37043670e-01	2.82149865e-02	1.60153881e-19	2.82149865e-02	-2.82149865e-02
34              	5.91700198e-02	1.70562885e-01	-1.11392865e-01	-2.81955750e-01	-1.10469056e-02	-2.70908845e-01	1.29930969e-01	1.40977875e-01	2.95850099e-02	1.59993823e-19	2.95850099e-02	-2.95850099e-02
35              	5.57782039e-02	1.68036201e-01	-1.12257997e-01	-2.80294199e-01	-1.16224642e-02	-2.68671735e-01	1.28524635e-01	1.40147099e-01	2.78891020e-02	1.60306489e-19	2.78891020e-02	-2.78891020e-02
36              	5.78415999e-02	1.72186519e-01	-1.14344919e-01	-2.86531439e-01	-1.02200924e-02	-2.76311346e-01	1.33045627e-01	1.43265719e-01	2.89208000e-02	1.60061633e-19	2.89208000e-02	-2.89208000e-02
37              	5.48247794e-02	1.70001516e-01	-1.15176737e-01	-2.85178253e-01	-1.08742744e-02	-2.74303979e-01	1.31714852e-01	1.42589127e-01	2.74123897e-02	1.60409662e-19	2.74123897e-02	-2.74123897e-02
38              	5.64774155e-02	1.74342351e-01	-1.17864935e-01	-2.92207286e-01	-9.17324120e-03	-2.83034045e-01	1.36930402e-01	1.46103643e-01	2.82387078e-02	1.60083356e-19	2.82387078e-02	-2.82387078e-02
39              	5.39954046e-02	1.72089900e-01	-1.18094496e-01	-2.90184396e-01	-1.01051480e-02	-2.80079248e-01	1.34987050e-01	1.45092198e-01	2.69977023e-02	1.60455123e-19	2.69977023e-02	-2.69977023e-02
40              	5.50227516e-02	1.75813069e-01	-1.20790318e-01	-2.96603387e-01	-8.42548285e-03	-2.88177904e-01	1.39876211e-01	1.48301694e-01	2.75113758e-02	1.60088566e-19	2.75113758e-02	-2.75113758e-02
