#  x/c              Cp
0.200429931416  -1.33397639314
0.272733476644  -1.09739337675
0.313031016481  -1.02376434089
0.364349814038  -0.815622941224
0.409014911113  -0.691546519472
0.452792848125  -0.640217222979
0.520899443819  -0.593937914544
0.611662742689  -0.535962791772
0.702835500051  -0.444412072726
0.748285392568  -0.409828578628
0.792131572662  -0.352903349423
0.836114238919  -0.284786254793
0.882041833009  -0.211031231709
0.927901184017  -0.142872141337
0.977718633774  -0.0578412613421
1.03156242536  0.0496573409871
1.03016344218  0.0887868742306
0.93571501689  0.344016000378
0.868017879687  0.331312288217
0.801378510254  0.25149937925
0.753778960658  0.19449015856
0.710205752892  0.159948660205
0.664892346538  0.136557031531
0.598798921759  0.101511584263
0.52902037056  0.0719780782223
0.438803016344  0.058770417149
0.350598833043  0.0567966172429
0.288804722421  0.0666026231591
0.21749070188  0.0650067849372
0.174395195687  0.0696368155678
0.150339509332  0.0970705344746
0.12601085065  0.102120522532
0.107244003139  0.101700565105
0.082437642884  0.0675790241764
0.0713140205412  0.078518915145
0.0658886955335  0.0951807260539
0.0595762104617  0.346787719395
0.0552768963046  0.609628573903
0.0543556146996  0.687929636133
0.0440509093391  0.76602071965
0.0399222028867  -0.957148594061
0.0537414269628  -0.900895296739
0.0585525642338  -0.967920502059
0.090558569625  -1.11265882921
0.110246698741  -1.19053993401
0.129934827857  -1.26842103882
0.152557409493  -1.41336934468
