#    x/c             Cp
0.0524651544596  -1.5315452657
0.0581149902835  0.578234939355
0.0653102593312  0.302921664545
0.0654568451384  -1.67940427528
0.0666211552637  -0.1104503116
0.0782098103598  -0.141761040005
0.0879556724519  -0.109545667761
0.092315553173  -2.15529719225
0.111748643034  -0.0979360718354
0.113382027742  -2.47242511559
0.132693660792  -2.71542250218
0.133347014675  -0.065218119681
0.134272599343  -2.81076191114
0.14971855525  -3.2341352275
0.156964082289  -0.074817395966
0.178210647993  -0.0845171882329
0.192735207398  -3.47612745427
0.223338135764  -0.0720029484688
0.267104469611  -3.08074783891
0.292082691148  -0.0690879849896
0.311092776251  -2.91987200965
0.356174194197  -0.0557696173692
0.358067245192  -2.68466461167
0.399773001407  -2.51328486229
0.443618910407  -0.0838638343497
0.453423406822  -2.04457883804
0.519801648462  -1.75554513168
0.533785934464  -0.0694397909268
0.600511793875  -0.0242075990082
0.612167459626  -1.47601018562
0.667149701803  0.0104201568049
0.703569992629  -1.02690477786
0.714647691483  0.0230349125511
0.750016752664  -0.855323996515
0.757404677344  0.0354486363332
0.796111706761  -0.726160959593
0.802796019567  0.0797761844133
0.870137539369  0.199239429069
0.888829323862  -0.404208269115
0.932026067145  -0.338772364806
0.938794143269  0.191549956443
0.981982510219  -0.315452656972
1.0  -0.323946257455
1.0  -0.270823560946
