# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	3.76497172e+01	7.86108775e+01	-4.09611602e+01	-1.19572038e+02	1.39343438e+01	-1.33506382e+02	7.37203627e+01	5.97860189e+01	1.88248586e+01	-4.51745352e-20	1.88248586e+01	-1.88248586e+01
2               	6.11770586e+00	1.46207416e+01	-8.50303579e+00	-2.31237774e+01	5.91972256e+00	-2.90435000e+01	1.74816113e+01	1.15618887e+01	3.05885293e+00	-2.88518320e-19	3.05885293e+00	-3.05885293e+00
3               	-8.18784096e-01	-6.64995716e+00	5.83117307e+00	1.24811302e+01	-3.88834727e+00	1.63694775e+01	-1.01289124e+01	-6.24056512e+00	-4.09392048e-01	-3.67064402e-19	-4.09392048e-01	4.09392048e-01
4               	-5.31592282e+00	-1.30543985e+01	7.73847567e+00	2.07928742e+01	-8.48832318e-01	2.16417065e+01	-1.12452694e+01	-1.03964371e+01	-2.65796141e+00	-3.89532524e-19	-2.65796141e+00	2.65796141e+00
5               	1.23540982e+00	3.78784186e+00	-2.55243204e+00	-6.34027390e+00	-1.20395483e+00	-5.13631907e+00	1.96618212e+00	3.17013695e+00	6.17704911e-01	-3.34587699e-19	6.17704911e-01	-6.17704911e-01
6               	-1.49246066e+00	-5.67366133e-01	-9.25094528e-01	-3.57728395e-01	1.40433349e+00	-1.76206188e+00	1.58319768e+00	1.78864198e-01	-7.46230331e-01	-3.45681496e-19	-7.46230331e-01	7.46230331e-01
7               	1.80729187e+00	5.65907930e+00	-3.85178743e+00	-9.51086674e+00	-1.11365833e+00	-8.39720841e+00	3.64177504e+00	4.75543337e+00	9.03645935e-01	-3.34347037e-19	9.03645935e-01	-9.03645935e-01
8               	-1.78976446e+00	-2.79207162e+00	1.00230716e+00	3.79437878e+00	4.24605895e-01	3.36977289e+00	-1.47258350e+00	-1.89718939e+00	-8.94882228e-01	-3.54166590e-19	-8.94882228e-01	8.94882228e-01
9               	1.40322048e+00	3.63339362e+00	-2.23017314e+00	-5.86356676e+00	-1.54655515e+00	-4.31701162e+00	1.38522824e+00	2.93178338e+00	7.01610239e-01	-3.39770932e-19	7.01610239e-01	-7.01610239e-01
10              	-1.55664422e+00	-3.04080619e+00	1.48416197e+00	4.52496817e+00	6.24798124e-01	3.90017004e+00	-1.63768596e+00	-2.26248408e+00	-7.78322112e-01	-3.57938034e-19	-7.78322112e-01	7.78322112e-01
11              	1.76214405e+00	4.28350201e+00	-2.52135797e+00	-6.80485998e+00	-1.28518284e+00	-5.51967714e+00	2.11724715e+00	3.40242999e+00	8.81072023e-01	-3.38919048e-19	8.81072023e-01	-8.81072023e-01
12              	-1.40000317e+00	-3.40909725e+00	2.00909408e+00	5.41819133e+00	1.06810260e+00	4.35008873e+00	-1.64099307e+00	-2.70909567e+00	-7.00001587e-01	-3.56835453e-19	-7.00001587e-01	7.00001587e-01
13              	1.93657026e+00	4.05414080e+00	-2.11757054e+00	-6.17171134e+00	-1.19399849e+00	-4.97771285e+00	1.89185718e+00	3.08585567e+00	9.68285132e-01	-3.39185983e-19	9.68285132e-01	-9.68285132e-01
14              	-1.60879997e+00	-4.08626238e+00	2.47746241e+00	6.56372479e+00	1.22442961e+00	5.33929518e+00	-2.05743278e+00	-3.28186239e+00	-8.04399987e-01	-3.55428130e-19	-8.04399987e-01	8.04399987e-01
