# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
78              	5.82688770e-02	-3.30007813e-01	3.88276690e-01	-7.18284504e-01	-1.17608799e-01	-6.00675705e-01	2.41533453e-01	-3.59142252e-01	-2.91344385e-02	-1.82533094e-20	-2.91344385e-02	2.91344385e-02
79              	5.81422693e-02	-3.30539635e-01	3.88681905e-01	-7.19221540e-01	-1.17212304e-01	-6.02009237e-01	2.42398466e-01	-3.59610770e-01	-2.90711346e-02	-1.82536143e-20	-2.90711346e-02	2.90711346e-02
80              	5.81551558e-02	-3.31247289e-01	3.89402445e-01	-7.20649734e-01	-1.16722483e-01	-6.03927251e-01	2.43602384e-01	-3.60324867e-01	-2.90775779e-02	-1.82548457e-20	-2.90775779e-02	2.90775779e-02
81              	5.85526221e-02	-3.33053085e-01	3.91605707e-01	-7.24658792e-01	-1.15659916e-01	-6.08998876e-01	2.46669480e-01	-3.62329396e-01	-2.92763111e-02	-1.82590962e-20	-2.92763111e-02	2.92763111e-02
82              	5.89416301e-02	-3.34740137e-01	3.93681767e-01	-7.28421904e-01	-1.14826304e-01	-6.13595600e-01	2.49384648e-01	-3.64210952e-01	-2.94708150e-02	-1.82681845e-20	-2.94708150e-02	2.94708150e-02
83              	5.91009314e-02	-3.35769774e-01	3.94870706e-01	-7.30640480e-01	-1.14352436e-01	-6.16288044e-01	2.50967804e-01	-3.65320240e-01	-2.95504657e-02	-1.82824319e-20	-2.95504657e-02	2.95504657e-02
84              	5.91599908e-02	-3.36477449e-01	3.95637440e-01	-7.32114889e-01	-1.14045531e-01	-6.18069359e-01	2.52011914e-01	-3.66057445e-01	-2.95799954e-02	-1.82979904e-20	-2.95799954e-02	2.95799954e-02
85              	5.91179888e-02	-3.36836543e-01	3.95954531e-01	-7.32791074e-01	-1.13874289e-01	-6.18916785e-01	2.52521248e-01	-3.66395537e-01	-2.95589944e-02	-1.83130321e-20	-2.95589944e-02	2.95589944e-02
86              	5.90634475e-02	-3.37230845e-01	3.96294292e-01	-7.33525137e-01	-1.13674358e-01	-6.19850779e-01	2.53088211e-01	-3.66762568e-01	-2.95317238e-02	-1.83269397e-20	-2.95317238e-02	2.95317238e-02
87              	5.90373054e-02	-3.37734229e-01	3.96771535e-01	-7.34505764e-01	-1.13368368e-01	-6.21137396e-01	2.53884514e-01	-3.67252882e-01	-2.95186527e-02	-1.83389084e-20	-2.95186527e-02	2.95186527e-02
88              	5.92171111e-02	-3.38939555e-01	3.98156667e-01	-7.37096222e-01	-1.12626198e-01	-6.24470024e-01	2.55921913e-01	-3.68548111e-01	-2.96085556e-02	-1.83511784e-20	-2.96085556e-02	2.96085556e-02
89              	5.94808124e-02	-3.40229602e-01	3.99710414e-01	-7.39940015e-01	-1.11865163e-01	-6.28074853e-01	2.58104845e-01	-3.69970008e-01	-2.97404062e-02	-1.83671043e-20	-2.97404062e-02	2.97404062e-02
90              	5.98091374e-02	-3.41686741e-01	4.01495879e-01	-7.43182620e-01	-1.11113979e-01	-6.32068640e-01	2.60477331e-01	-3.71591310e-01	-2.99045687e-02	-1.83907396e-20	-2.99045687e-02	2.99045687e-02
91              	6.00539191e-02	-3.42886473e-01	4.02940392e-01	-7.45826865e-01	-1.10557753e-01	-6.35269112e-01	2.62355679e-01	-3.72913433e-01	-3.00269595e-02	-1.84206917e-20	-3.00269595e-02	3.00269595e-02
92              	6.01189220e-02	-3.43489932e-01	4.03608854e-01	-7.47098786e-01	-1.10280617e-01	-6.36818169e-01	2.63268776e-01	-3.73549393e-01	-3.00594610e-02	-1.84516045e-20	-3.00594610e-02	3.00594610e-02
